#OTU ID	YD17L1	YD17L2	YD17L3	YD17L4	YD24L1	YD24L2	YD24L3	YD24L4	YD32L1	YD32L2	YD32L3	YD32L4	YD3L1	YD3L2	YD3L3	YD3L4	YD43L1	YD43L2	YD43L3	YD43L4	YD45L1	YD45L2	YD45L3	YD45L4
Zotu370	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1
Zotu690	0	0	15	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	4	0	0	6	0	24
Zotu2456	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu707	0	0	6	0	0	1	0	3	1	1	0	0	1	0	1	0	0	0	0	148	0	27	0	0
Zotu945	0	0	24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu386	0	0	57	18	0	0	21	3	2	0	2	9	0	0	0	42	0	0	0	3	0	0	1	22
Zotu1111	0	0	17	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Zotu1897	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu1609	0	0	13	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0
Zotu745	0	0	36	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	26	0	0
Zotu1736	0	0	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1619	0	0	25	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1514	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
Zotu1077	0	0	8	0	1	8	3	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0
Zotu2135	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0
Zotu5041	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1606	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu713	0	0	45	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1086	0	0	12	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Zotu3007	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1063	0	0	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu652	0	0	20	0	0	0	0	0	0	69	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Zotu2232	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0
Zotu789	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu997	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	21
Zotu1425	0	0	23	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
